route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color                                                                                                                                                                                                                                              
1120013200GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1060017000AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
1700020309GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1700022100GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1700011511GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1510010600AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
1060015100AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
1541017000GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1700015410GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
3010017000GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
3010008004GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1700030100GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
0800430100GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
6530060000AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
0321660000AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
0321303208AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
6530003216AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
6000003216AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
0320803213AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
6000060911AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
0320803216AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
6091160000AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
6000065300AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
0321360000AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
0320865300AV006,1071,AVE,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                         
6000061307GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
6000061200GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
6130760000GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
6120060000GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
6531260000GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
0321303208GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
6531203216GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
6000065312GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
6000069110GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
0320869110GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
6911060000GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1060017000AV008,1071,AVANT,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
6000092102AV008,1071,AVANT,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
9210260000AV008,1071,AVANT,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
5100354413AV008,1071,AVANT,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
7840071801AV008,1071,AVANT,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1700010600AV008,1071,AVANT,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
6000037300AV008,1071,AVANT,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
3730060000AV008,1071,AVANT,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
3730037200AV008,1071,AVANT,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
3720037300AV008,1071,AVANT,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
7180178400AV008,1071,AVANT,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
5100305000AV008,1071,AVANT,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
0500051003AV008,1071,AVANT,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
5050051003AV008,1071,AVANT,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
5441351003AV008,1071,AVANT,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
3141222100AV008,1071,AVANT,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
0822331412VRX,1071,MD,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                            
3141208223VRX,1071,MD,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                            
6000055020GL025,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
6000037704GL025,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
3770450500GL025,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
5050055020GL025,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
5502060000GL025,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
5502050500GL025,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
5050037704GL025,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
3770460000GL025,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
2210031412AV008,1071,AVANT,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1700007004GL026,1071,INTERCITY,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
0700417000GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
7180180100GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
8010071801GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
6091161307GL011,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
6091161200GL011,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
6130760911GL011,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
6120060911GL011,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
0600660911GL011,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
6091106006GL011,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1541010600VRR,1071,REGIONAL,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                      
1541015100VRR,1071,REGIONAL,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                      
3141222308VRR,1071,REGIONAL,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                      
3141231400VRR,1071,REGIONAL,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                      
3140022308VRR,1071,REGIONAL,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                      
2230822100VRE,1071,MD,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                            
2210022308VRM,1071,MD,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                            
2230831400VRR,1071,REGIONAL,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                      
2230831412VRR,1071,REGIONAL,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                      
3140031412VRR,1071,REGIONAL,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                      
1510020200VRE,1071,REG.EXP.,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                      
2020010600VRE,1071,REG.EXP.,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                      
2020015100VRE,1071,REG.EXP.,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                      
2230820200VRE,1071,REG.EXP.,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                      
2020022308VRE,1071,REG.EXP.,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                      
2030031412VRM,1071,MD,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                            
3141220300VRM,1071,MD,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                            
3141222100VRM,1071,MD,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                            
