"CÓDIGO";"DESCRIPCION";"LATITUD";"LONGITUD";"DIRECCIÓN";"C.P.";"POBLACION";"PROVINCIA";"PAIS"
34002;"CARDEÑOSA DE AVILA";"40.7391956";"-4.7507526";"CARRETERA ESTACION FERROCARRIL. S/N";5320;"Cardeñosa";"Ávila";"España"
34005;"SAN PEDRO DEL ARROYO";"40.8038378";"-4.871408";"CALLE ESTACION FERROCARRIL. S/N";5350;"San Pedro del Arroyo";"Ávila";"España"
34007;"CRESPOS";"40.8700754";"-4.9679924";"CARRETERA AVP-115 - ESTACION FERROCARRIL. S/N";5300;"Crespos";"Ávila";"España"
34008;"NARROS DEL CASTILLO";"40.8665849";"-5.0527564";"CARRETERA AVP-627 - ESTACION FERROCARRIL. S/N";5369;"Narros del Castillo";"Ávila";"España"
34010;"PEÑARANDA DE BRACAMONTE";"40.8980292";"-5.2064124";"RONDA ESTACION FERROCARRIL. 15";37300;"Peñaranda de Bracamonte";"Salamanca";"España"
34011;"VILLAR DE GALLIMAZO";"40.952035";"-5.2959951";"PASEO ESTACION FERROCARRIL. S/N";37320;"Villar de Gallimazo";"Salamanca";"España"
34012;"BABILAFUENTE";"40.9723606";"-5.430571";"CARRETERA DSA-650 - ESTACION FERROCARRIL. S/N";37330;"Babilafuente";"Salamanca";"España"
34013;"SAN MORALES";"40.984155";"-5.4927959";"CARRETERA DSA-650 - ESTACION FERROCARRIL. S/N";37340;"San Morales";"Salamanca";"España"
70501;"CETINA";"41.2959001";"-1.9598888";"CALLE PALLARES. S/N";50292;"Cetina";"Zaragoza";"España"
34014;"ALDEALENGUA";"40.9797942";"-5.5531967";"CARRETERA SA-804 - ESTACION FERROCARRIL. S/N";37350;"Aldealengua";"Salamanca";"España"
35005;"ILLESCAS";"40.1208723";"-3.8423354";"PASEO ESTACION FERROCARRIL. S/N";45200;"Illescas";"Toledo";"España"
35105;"TORRIJOS";"39.9789578";"-4.2830853";"AVENIDA ESTACION FERROCARRIL. S/N";45500;"Torrijos";"Toledo";"España"
35107;"ERUSTES";"39.9495218";"-4.4875523";"AVENIDA ESTACION FERROCARRIL. S/N";45540;"Erustes";"Toledo";"España"
35109;"MONTEARAGON";"39.9608322";"-4.6465299";"PLAZA ESTACION FERROCARRIL. S/N";45685;"Montearagón";"Toledo";"España"
35200;"TALAVERA DE LA REINA";"39.9706129";"-4.826512";"PASEO ESTACION FERROCARRIL. S/N";45600;"Talavera de la Reina";"Toledo";"España"
35203;"OROPESA DE TOLEDO";"39.9217431";"-5.1861473";"AVENIDA ESTACION FERROCARRIL. S/N";45560;"Oropesa";"Toledo";"España"
35206;"NAVALMORAL DE LA MATA";"39.8948539";"-5.545566";"PLAZA ESTACION FERROCARRIL. 1";10300;"Navalmoral de la Mata";"Cáceres";"España"
35207;"CASATEJADA";"39.8919228";"-5.6776116";"PASEO JOSE ANTONIO PAVON. 29";10520;"Casatejada";"Cáceres";"España"
35301;"MIRABEL";"39.8661782";"-6.228912";"CALLE ADOLFO DE MIGUEL. 13";10540;"Mirabel";"Cáceres";"España"
35302;"CASAS DE MILLAN";"39.8121045";"-6.3256771";"CALLE ESTACION FERROCARRIL. S/N";10592;"Casas de Millán";"Cáceres";"España"
35303;"CAÑAVERAL";"39.7889614";"-6.3745314";"CALLE ESTACION FERROCARRIL. S/N";10820;"Cañaveral";"Cáceres";"España"
35400;"CACERES";"39.461161";"-6.385651";"AVENIDA JUAN PABLO II. 6";10005;"Cáceres";"Cáceres";"España"
35402;"ARROYO DE MALPARTIDA";"39.4680733";"-6.5344525";"AVENIDA DE LA ESTACION. 79";10910;"Cáceres";"Cáceres";"España"
35405;"SAN VICENTE DE ALCANTARA";"39.3815403";"-7.1170664";"CARRETERA CC-91 - ESTACION FERROCARRIL. S/N";6500;"San Vicente de Alcántara";"Badajoz";"España"
35406;"VALENCIA DE ALCANTARA";"39.4269147";"-7.2307418";"CALLE MANUEL PUEBLA ESTACION. S/N";10500;"Valencia de Alcántara";"Cáceres";"España"
37200;"CIUDAD REAL";"38.9852579";"-3.9134245";"AVENIDA DE EUROPA. 1";13005;"Ciudad Real";"Ciudad Real";"España"
37300;"PUERTOLLANO";"38.6914111";"-4.1116111";"CALLE MUELLE. S/N";13500;"Puertollano";"Ciudad Real";"España"
37302;"BRAZATORTAS-VEREDAS";"38.6688198";"-4.3166882";"CALLE JOSE POVEDA. S/N";13450;"Brazatortas";"Ciudad Real";"España"
37305;"ALMADENEJOS-ALMADEN";"38.7405765";"-4.730331";"CARRETERA C-424 - ESTACION FERROCARRIL. S/N";13480;"Almadén";"Ciudad Real";"España"
37308;"GUADALMEZ-LOS PEDROCHES";"38.6992339";"-4.9295366";"CARRETERA LOS PEDROCHES. KM 4";13490;"Guadalmez";"Ciudad Real";"España"
37311;"CABEZA DEL BUEY";"38.723812";"-5.2270033";"BARRIADA ESTACION. S/N";6600;"Cabeza del Buey";"Badajoz";"España"
37400;"ALMORCHON";"38.6966056";"-5.2904115";"CARRETERA EX-104 - ESTACION FERROCARRIL. S/N";6614;"Cabeza del Buey";"Badajoz";"España"
37404;"CAMPANARIO";"38.8534031";"-5.6414458";"CARRETERA EX-115 - ESTACION FERROCARRIL. S/N";6460;"Campanario";"Badajoz";"España"
37406;"VILLANUEVA DE LA SERENA";"38.9687822";"-5.7963912";"CALLE JOSE GALLARDO. 10";6700;"Villanueva de la Serena";"Badajoz";"España"
37407;"DON BENITO";"38.9669797";"-5.8628364";"AVENIDA DE LA CONSTITUCION. 29";6400;"Don Benito";"Badajoz";"España"
37409;"VALDETORRES";"38.9133481";"-6.0694247";"CALLE LUIS CHAMIZO. 6";6474;"Valdetorres";"Badajoz";"España"
37410;"GUAREÑA";"38.8968311";"-6.1289519";"CARRETERA BA-043 - ESTACION DE FERROCARRIL. S/N";6470;"Guareña";"Badajoz";"España"
37500;"MERIDA";"38.9213839";"-6.343062";"CALLE CARDERO. S/N";6800;"Mérida";"Badajoz";"España"
37600;"ALJUCEN";"38.9364087";"-6.407883";"CALLE ESTACION FERROCARRIL. S/N";6800;"Aljucén";"Badajoz";"España"
37603;"MONTIJO";"38.9135544";"-6.5985619";"AVENIDA ESTACION FERROCARRIL. S/N";6480;"Montijo";"Badajoz";"España"
37604;"GUADIANA";"38.9220809";"-6.6899875";"CARRETERA BA-034 - ESTACION DE FERROCARRIL. S/N";6186;"Guadiana del Caudillo";"Badajoz";"España"
37606;"BADAJOZ";"38.89061";"-6.9817556";"AVENIDA CAROLINA CORONADO. S/N";6006;"Badajoz";"Badajoz";"España"
37608;"MONTIJO-EL MOLINO";"38.9139742";"-6.6182455";"CALLE ESTACION FERROCARRIL. S/N";6480;"Montijo";"Badajoz";"España"
37611;"GARROVILLA-LAS VEGAS";"38.9153576";"-6.4770663";"BARRIADA ESTACION. 2";6870;"Garrovilla. La";"Badajoz";"España"
37704;"VILLANUEVA DE CORDOBA";"38.2551693";"-4.5709044";"CARRETERA CO-5100 - VILLANUEVA ADAMUZ KM 9.8 - ESTACION FERROCARRIL. S/N";14440;"Villanueva de Córdoba";"Córdoba";"España"
40002;"CALAMONTE";"38.8874922";"-6.3826881";"AVENIDA DE ESPRONCEDA. S/N";6810;"Calamonte";"Badajoz";"España"
40004;"ALMENDRALEJO";"38.6846701";"-6.3997768";"CALLE LAGO DE ALANGE. 1A";6200;"Almendralejo";"Badajoz";"España"
