"CÓDIGO";"DESCRIPCION";"LATITUD";"LONGITUD";"DIRECCIÓN";"C.P.";"POBLACION";"PROVINCIA";"PAIS"
60507;"LA GINETA";"39.1117194";"-2.000316";"CALLE SANTA ANA. S/N";2110;"Gineta. La";"Albacete";"España"
60600;"ALBACETE LOS LLANOS";"39.0002979";"-1.8487356";"CALLE FEDERICO GARCIA LORCA. 1";2001;"Albacete";"Albacete";"España"
60800;"ALMANSA";"38.8677729";"-1.1054355";"PLAZA PRIMERO DE MAYO. 1";2640;"Almansa";"Albacete";"España"
60900;"LA ENCINA";"38.7653779";"-0.9542829";"AVENIDA CONSTITUCION. 1";3408;"Villena";"Alicante/Alacant";"España"
60901;"CAUDETE";"38.7161493";"-0.9597129";"CARRETERA CV-656 - ESTACION FERROCARRIL. S/N";2660;"Caudete";"Albacete";"España"
60902;"VILLENA";"38.631817";"-0.867668";"RONDA DE LA ESTACION. S/N";3400;"Villena";"Alicante/Alacant";"España"
60904;"SAX";"38.5447527";"-0.8142178";"LUIS BARCELO SANTOJA. 25";3630;"Sax";"Alicante/Alacant";"España"
60905;"ELDA-PETRER";"38.484919";"-0.8010553";"CALLE GALICIA. S/N";3600;"Elda";"Alicante/Alacant";"España"
60907;"NOVELDA-ASPE";"38.4071671";"-0.7777287";"CALLE RAFAEL ALTAMIRA. S/N";3660;"Novelda";"Alicante/Alacant";"España"
61005;"HELLIN";"38.5088565";"-1.688572";"PASEO YUTERA DEL CARMEN. S/N";2400;"Hellín";"Albacete";"España"
61009;"CALASPARRA";"38.2692997";"-1.6799747";"CALLE ESTACION FERROCARRIL. 8";30420;"Calasparra";"Murcia";"España"
61012;"CIEZA";"38.2468104";"-1.4220446";"CALLE ESTACION FERROCARRIL. 34";30530;"Cieza";"Murcia";"España"
61015;"ARCHENA-FORTUNA";"38.1313637";"-1.2360305";"CALLE ESTACION FERROCARRIL. S/N";30627;"Archena";"Murcia";"España"
61303;"BALSICAS-MAR MENOR";"37.8188201";"-0.950921";"CALLE MAR MENOR. S/N";30591;"Torre-Pacheco";"Murcia";"España"
61304;"TORRE-PACHECO";"37.7470233";"-0.9670555";"AVENIDA ESTACION FERROCARRIL. S/N";30700;"Torre-Pacheco";"Murcia";"España"
65304;"ORPESA";"40.0922718";"0.1397688";"PLAÇA L'ESTACIO FERROCARRIL. S/N";12594;"Oropesa del Mar/Orpesa";"Castellón/Castelló";"España"
65306;"TORREBLANCA";"40.2122167";"0.1989847";"CARRER DE L'ESTACIO. 47";12596;"Torreblanca";"Castellón/Castelló";"España"
65308;"ALCALA DE CHIVERT";"40.304675";"0.2286858";"PASSEIG HEROIS DEL MARROC. S/N";12570;"Alcalà de Xivert";"Castellón/Castelló";"España"
65311;"BENICARLO-PEÑISCOLA";"40.4276628";"0.415166";"PLAZA ESTACION FERROCARRIL. S/N";12580;"Benicarló";"Castellón/Castelló";"España"
65312;"VINAROS";"40.4716548";"0.4556807";"PLAZA ESTACION FERROCARRIL. S/N";12500;"Vinaròs";"Castellón/Castelló";"España"
65314;"ULLDECONA-ALCANAR-LA SENIA";"40.5959442";"0.4492822";"PASSEIG DE L'ESTACIO. S/N";43550;"Ulldecona";"Tarragona";"España"
65318;"BENICASSIM";"40.0580783";"0.0578182";"PLAZA ESTACION FERROCARRIL. S/N";12560;"Benicasim/Benicàssim";"Castellón/Castelló";"España"
65400;"TORTOSA";"40.8072878";"0.5230081";"CALLE POETA VICENTE I GARCIA. 6 - 12";43500;"Tortosa";"Tarragona";"España"
65401;"CAMP-REDO";"40.7591771";"0.5558199";"CALLE ESTACIO DE FERROCARRIL. S/N";43897;"Tortosa";"Tarragona";"España"
65402;"L'ALDEA-AMPOSTA-TORTOSA";"40.7535546";"0.6142432";"CALLE ARRABAL DE RAMON. S/N";43896;"Aldea. L'";"Tarragona";"España"
65403;"CAMARLES-DELTEBRE";"40.774744";"0.671661";"CALLE ESTACION FERROCARRIL. S/N";43894;"Camarles";"Tarragona";"España"
65404;"L'AMPOLLA-PERELLO-DELTEBRE";"40.8120007";"0.7082488";"PLAÇA FRANCESC MACIA. S/N";43895;"Ampolla. L'";"Tarragona";"España"
65405;"L'AMETLLA DE MAR";"40.8861982";"0.8004373";"CARRER GOYA. S/N";43860;"Ametlla de Mar. L'";"Tarragona";"España"
65407;"L'HOSPITALET DE L'INFANT";"40.9958894";"0.9207072";"CARRER L'ESTACIO FERROCARRIL. S/N";43890;"Vandellòs i l'Hospitalet de l'Infant";"Tarragona";"España"
65408;"MONT-ROIG DEL CAMP";"41.0449873";"0.9906773";"CARRETERA N-340 - PARTIDA POBLAS. S/N";43892;"Mont-roig del Camp";"Tarragona";"España"
65409;"CAMBRILS";"41.069347";"1.0529506";"AVENIDA VIRGEN DE MONTSERRAT. S/N";43850;"Cambrils";"Tarragona";"España"
65410;"SALOU";"41.0774589";"1.1291961";"CALLE CARLES ROIG. S/N";43840;"Salou";"Tarragona";"España"
65411;"PORT AVENTURA";"41.0891944";"1.1463882";"AVENIDA JOAN FUSTER. S/N";43840;"Salou";"Tarragona";"España"
66001;"ONTIGOLA";"40.0016342";"-3.5736938";"CALLE CAMINO ESTACION FERROCARRIL. S/N";45340;"Ontígola";"Toledo";"España"
66002;"OCAÑA";"39.9646427";"-3.48602";"CALLE ESTACION FERROCARRIL. S/N";45300;"Ocaña";"Toledo";"España"
66003;"NOBLEJAS";"39.9725107";"-3.4426771";"PASEO ESTACION FERROCARRIL. S/N";45350;"Noblejas";"Toledo";"España"
81206;"GALLUR";"41.8671808";"-1.3212745";"CALLE VIRGEN DEL PILAR. 2";50650;"Gallur";"Zaragoza";"España"
66004;"VILLARRUBIA DE SANTIAGO";"39.9662691";"-3.367264";"CALLE ESTACION FERROCARRIL. S/N";45360;"Villarrubia de Santiago";"Toledo";"España"
66005;"SANTA CRUZ DE LA ZARZA";"39.9729183";"-3.1809388";"AVENIDA CASTILLA LA MANCHA. S/N";45370;"Santa Cruz de la Zarza";"Toledo";"España"
66006;"TARANCON";"40.0064667";"-3.0097245";"GLORIETA ESTACION FERROCARRIL. S/N";16400;"Tarancón";"Cuenca";"España"
66011;"HUETE";"40.147094";"-2.6816134";"PASEO ESTACION FERROCARRIL. S/N";16500;"Huete";"Cuenca";"España"
66013;"CASTILLEJO DEL ROMERAL";"40.1371299";"-2.5068958";"CALLE ESTACION FERROCARRIL. S/N";16541;"Huete";"Cuenca";"España"
66014;"CUEVAS DE VELASCO";"40.1554631";"-2.408532";"CALLE ESTACION FERROCARRIL. S/N";16542;"Villar y Velasco";"Cuenca";"España"
66016;"CHILLARON";"40.102932";"-2.220969";"CALLE ESTACION FERROCARRIL. S/N";16190;"Chillarón de Cuenca";"Cuenca";"España"
66100;"CUENCA";"40.0673622";"-2.1364895";"CALLE MARIANO CATALINA. 10";16004;"Cuenca";"Cuenca";"España"
66103;"CAÑADA DEL HOYO";"39.9538744";"-1.8896024";"CALLE ESTACION FERROCARRIL. S/N";16340;"Cañada del Hoyo";"Cuenca";"España"
66104;"CARBONERAS DE GUADAZAON";"39.9005164";"-1.8076325";"CARRETERA CAMPORROBLES. S/N";16350;"Carboneras de Guadazaón";"Cuenca";"España"
66105;"ARGUISUELAS";"39.838605";"-1.8123037";"CALLE ESTACION FERROCARRIL. S/N";16360;"Arguisuelas";"Cuenca";"España"
66108;"YEMEDA-CARDENETE";"39.7509195";"-1.6818789";"CARRETERA CUV - 5014 - ESTACION FERROCARRIL. S/N";16373;"Yémeda";"Cuenca";"España"
66109;"VILLORA";"39.7468661";"-1.6108998";"CARRETERA CM-2109 - ESTACION FERROCARRIL. S/N";16371;"Víllora";"Cuenca";"España"
66112;"CAMPORROBLES";"39.6448311";"-1.40283";"CALLE ESTACION FERROCARRIL. 1";46330;"Camporrobles";"Valencia/Valéncia";"España"
66113;"LAS CUEVAS";"39.6194064";"-1.2841209";"CALLE ESTACION FERROCARRIL. S/N";46313;"Utiel";"Valencia/Valéncia";"España"
67004;"MARIA DE HUERVA";"41.5400975";"-0.9974668";"CALLE ESTACION FERROCARRIL. S/N";50430;"María de Huerva";"Zaragoza";"España"
67007;"ARAÑALES DE MUEL";"41.4690568";"-1.0860655";"CALLE ESCALERA ARAÑALES. 8";50450;"Muel";"Zaragoza";"España"
67009;"LONGARES";"41.4044584";"-1.1588558";"CALLE CAMINO ESTACION FERROCARRIL. S/N";50460;"Longares";"Zaragoza";"España"
67010;"CARIÑENA";"41.3354867";"-1.2285589";"CALLE CAMINO ESTACION FERROCARRIL. 1";50400;"Cariñena";"Zaragoza";"España"
67011;"ENCINACORBA";"41.2886981";"-1.2786679";"CALLE ESTACION FERROCARRIL. 9";50470;"Encinacorba";"Zaragoza";"España"
67013;"VILLARREAL DE HUERVA";"41.1963733";"-1.2871356";"CALLE CAMINO DE LA ESTACION. S/N";50490;"Villarreal de Huerva";"Zaragoza";"España"
67014;"VILLADOZ";"41.1655526";"-1.2788559";"CARRETERA A-2509 - ESTACION FERROCARRIL. S/N";50490;"Villadoz";"Zaragoza";"España"
67015;"BADULES";"41.1394432";"-1.2515629";"CARRETERA A-1506 - CALLE MAYOR. S/N";50491;"Badules";"Zaragoza";"España"
67016;"VILLAHERMOSA";"41.1085134";"-1.2398555";"CARRETERA TE-17 - ESTACION FERROCARRIL. S/N";44494;"Villahermosa del Campo";"Teruel";"España"
67017;"FERRERUELA";"41.0634645";"-1.2379394";"CARRETERA A-2510 - ESTACION DE FERROCARRIL. S/N";44490;"Ferreruela de Huerva";"Teruel";"España"
67018;"CUENCABUENA";"41.0093948";"-1.2546971";"CARRETERA TE-19 - ESTACION FERROCARRIL. S/N";44495;"Calamocha";"Teruel";"España"
67019;"LECHAGO";"40.9576557";"-1.2690956";"AUTOVIA MUDEJAR A-23 - ESTACION FERROCARRIL. S/N";44495;"Calamocha";"Teruel";"España"
67020;"NAVARRETE";"40.9368706";"-1.2616324";"CARRETERA A-2512 - ESTACION FERROCARRIL. S/N";44496;"Calamocha";"Teruel";"España"
67021;"CALAMOCHA";"40.9034355";"-1.3004167";"CARRETERA N-234 - ESTACION FERROCARRIL. S/N";44200;"Calamocha";"Teruel";"España"
67100;"CAMINREAL-FUENTES CLARAS";"40.8504763";"-1.3380704";"CARRETERA CV-4301 - ESTACION FERROCARRIL. S/N";44350;"Caminreal";"Teruel";"España"
67101;"TORRIJO DEL CAMPO";"40.8260035";"-1.3405037";"CALLE ALEMANIA. S/N";44393;"Torrijo del Campo";"Teruel";"España"
67103;"VILLAFRANCA DEL CAMPO";"40.684065";"-1.3578996";"CARRETERA TE-V-9024 - ESTACION FERROCARRIL. S/N";44394;"Villafranca del Campo";"Teruel";"España"
67105;"SANTA EULALIA DEL CAMPO";"40.5728311";"-1.3130623";"BARRIO ESTACION FERROCARRIL. 8";44360;"Santa Eulalia";"Teruel";"España"
67107;"CELLA";"40.4552778";"-1.2447801";"CALLE ESTACION FERROCARRIL. S/N";44370;"Cella";"Teruel";"España"
67113;"MONREAL DEL CAMPO";"40.7965976";"-1.3565684";"CALLE TERUEL. S/N";44300;"Monreal del Campo";"Teruel";"España"
67200;"TERUEL";"40.3410032";"-1.1103442";"CALLE CAMINO DE LA ESTACION. S/N";44001;"Teruel";"Teruel";"España"
67202;"PUERTO ESCANDON";"40.2732626";"-0.9845119";"CARRETERA N-234. KM. 103 - ESTACION FERROCARRIL. S/N";44442;"Puebla de Valverde. La";"Teruel";"España"
67203;"PUEBLA DE VALVERDE";"40.2123416";"-0.9438361";"CARRETERA TE-620 - CAMINO ESTACION FERROCARRIL. S/N";44450;"Puebla de Valverde. La";"Teruel";"España"
67205;"SARRION";"40.1462637";"-0.8234154";"CALLE CAMINO DE LA ESTACION. S/N";44460;"Sarrión";"Teruel";"España"
67206;"MORA DE RUBIELOS";"40.117977";"-0.7733837";"CALLE ESTACION FERROCARRIL MORA. 1";44477;"Mora de Rubielos";"Teruel";"España"
67207;"RUBIELOS DE MORA";"40.1106445";"-0.7408539";"CARRETERA TE-V-6005 - ESTACION FERROCARRIL. S/N";44477;"Rubielos de Mora";"Teruel";"España"
67208;"BARRACAS";"40.011745";"-0.6962735";"AVENIDA ESTACION FERROCARRIL. 9";12420;"Barracas";"Castellón/Castelló";"España"
69001;"GENOVES";"38.9741833";"-0.4851401";"CALLE ESTACION FERROCARRIL. S/N";46894;"Genovés";"Valencia/Valéncia";"España"
69002;"BENIGANIM";"38.9384428";"-0.4531915";"AVENIDA BALNEARI DE BELLUS. S/N";46830;"Benigànim";"Valencia/Valéncia";"España"
69003;"LA POBLA DEL DUC";"38.915336";"-0.4454842";"CALLE ESTACION FERROCARRIL. S/N";46840;"Pobla del Duc. la";"Valencia/Valéncia";"España"
69004;"MONTABERNER";"38.8840538";"-0.4915503";"AVENIDA ESTACION FERROCARRIL. 20";46892;"Montaverner";"Valencia/Valéncia";"España"
69005;"BUFALI";"38.8673771";"-0.5104955";"CALLE ESTACION FERROCARRIL. S/N";46891;"Bufali";"Valencia/Valéncia";"España"
69006;"ALBAIDA";"38.8456849";"-0.5182685";"CALLE ESTACION FERROCARRIL. S/N";46860;"Albaida";"Valencia/Valéncia";"España"
69007;"AGULLENT";"38.8305232";"-0.551209";"CALLE ESTACION FERROCARRIL. S/N";46890;"Agullent";"Valencia/Valéncia";"España"
69008;"ONTINYENT";"38.8095064";"-0.6025968";"CARRETERA CV-6620 - POLIGONO URBANO. 2";46870;"Ontinyent";"Valencia/Valéncia";"España"
69009;"AGRES";"38.7968366";"-0.5217951";"CALLE ESTACION FERROCARRIL. S/N";3837;"Agres";"Alicante/Alacant";"España"
69010;"COCENTAINA";"38.7407086";"-0.4470622";"CARRER PUJADA A SANTA BARBARA. 29";3820;"Cocentaina";"Alicante/Alacant";"España"
69011;"ALCOI";"38.7094901";"-0.4702863";"AVENIDA TIRANT LO BLANC. 8";3804;"Alcoy/Alcoi";"Alicante/Alacant";"España"
70202;"YUNQUERA DE HENARES";"40.747036";"-3.163145";"PASEO ESTACION FERROCARRIL. S/N";19210;"Yunquera de Henares";"Guadalajara";"España"
70204;"HUMANES DE MOHERNANDO";"40.8311845";"-3.1389515";"PASEO ESTACION FERROCARRIL. S/N";19229;"Humanes";"Guadalajara";"España"
70207;"ESPINOSA DE HENARES";"40.909718";"-3.0731338";"PASEO ESTACION FERROCARRIL. S/N";19292;"Espinosa de Henares";"Guadalajara";"España"
70208;"CARRASCOSA DE HENARES";"40.905884";"-3.013691";"PASEO EL APEADERO. S/N";19247;"Espinosa de Henares";"Guadalajara";"España"
70209;"JADRAQUE";"40.930006";"-2.935785";"CARRETERA ESTACION FERROCARRIL. S/N";19240;"Jadraque";"Guadalajara";"España"
70210;"MATILLAS";"40.953837";"-2.843212";"BARRIO ESTACION FERROCARRIL. S/N";19294;"Matillas";"Guadalajara";"España"
70300;"BAIDES";"41.004911";"-2.785903";"CALLE ESTACION FERROCARRIL. S/N";19295;"Baides";"Guadalajara";"España"
70302;"SIGÜENZA";"41.071329";"-2.646456";"CALLE ALFONSO VI. S/N";19250;"Sigüenza";"Guadalajara";"España"
70400;"TORRALBA";"41.136239";"-2.4928288";"BARRIO ESTACION FERROCARRIL. S/N";42230;"Medinaceli";"Soria";"España"
70401;"MEDINACELI";"41.1652422";"-2.4212014";"PLAZA ESTACION FERROCARRIL. S/N";42240;"Medinaceli";"Soria";"España"
70403;"ARCOS DE JALON";"41.2156614";"-2.2776762";"PLAZA ESTACION FERROCARRIL. S/N";42250;"Arcos de Jalón";"Soria";"España"
70404;"SANTA MARIA DE HUERTA";"41.2639286";"-2.1779682";"CALLE ESTACION FERROCARRIL. S/N";42260;"Santa María de Huerta";"Soria";"España"
70405;"MONREAL DE ARIZA";"41.2986119";"-2.1098883";"CARRETERA CV-937 - ESTACION FERROCARRIL. S/N";50291;"Monreal de Ariza";"Zaragoza";"España"
70500;"ARIZA";"41.3096622";"-2.0595452";"CALLE ESTACION FERROCARRIL. S/N";50220;"Ariza";"Zaragoza";"España"
70502;"ALHAMA DE ARAGON";"41.2943546";"-1.9042781";"CARRETERA ESTACION FERROCARRIL. S/N";50230;"Alhama de Aragón";"Zaragoza";"España"
70503;"BUBIERCA";"41.3172399";"-1.8558469";"CARRETERA N-II - ESTACION FERROCARRIL. S/N";50239;"Bubierca";"Zaragoza";"España"
70504;"ATECA";"41.3245706";"-1.7852674";"AVENIDA SAN BLAS. S/N";50200;"Ateca";"Zaragoza";"España"
70505;"TERRER";"41.3221944";"-1.7084722";"CALLE ESTACION FERROCARRIL. S/N";50293;"Terrer";"Zaragoza";"España"
70600;"CALATAYUD";"41.3466673";"-1.6387414";"PLAZA ESTACION FERROCARRIL. S/N";50300;"Calatayud";"Zaragoza";"España"
70602;"EMBID DE JALON";"41.4214023";"-1.5931741";"CARRETERA CV-901 - ESTACION FERROCARRIL. S/N";50336;"Calatayud";"Zaragoza";"España"
70603;"PARACUELLOS-SABIÑAN";"41.429389";"-1.5677113";"CARRETERA CV-901 - ESTACION FERROCARRIL. S/N";50299;"Paracuellos de la Ribera";"Zaragoza";"España"
70604;"SABIÑAN";"41.4440632";"-1.5711643";"CARRETERA CV-901 - ESTACION FERROCARRIL. S/N";50299;"Sabiñán";"Zaragoza";"España"
70605;"MORES";"41.4786035";"-1.5661824";"PASEO ESTACION FERROCARRIL. S/N";50240;"Morés";"Zaragoza";"España"
70606;"PURROY";"41.4771806";"-1.5400778";"CARRETERA ZP-1129 - ESTACION FERROCARRIL. S/N";50247;"Morés";"Zaragoza";"España"
70607;"MORATA DE JALON";"41.4755371";"-1.4785739";"CALLE ESTACION FERROCARRIL. S/N";50260;"Morata de Jalón";"Zaragoza";"España"
70700;"RICLA-LA ALMUNIA";"41.5014644";"-1.402843";"AVENIDA GOYA. S/N";50270;"Ricla";"Zaragoza";"España"
70701;"CALATORAO";"41.5286384";"-1.3607504";"AVENIDA DOTRO CARNICERO. S/N";50280;"Calatorao";"Zaragoza";"España"
70702;"SALILLAS DE JALON";"41.567595";"-1.3259524";"AVENIDA ESTACION FERROCARRIL. S/N";50294;"Salillas de Jalón";"Zaragoza";"España"
70703;"EPILA";"41.609653";"-1.3009674";"CALLE CAMINO ESTACION FERROCARRIL. S/N";50290;"Épila";"Zaragoza";"España"
70704;"RUEDA DE JALON-LUMPIAQUE";"41.6391743";"-1.2815663";"CARRETERA A-2304 - ESTACION FERROCARRIL. S/N";50295;"Rueda de Jalón";"Zaragoza";"España"
70705;"PLASENCIA DE JALON";"41.6894768";"-1.234261";"AVENIDA ESTACION FERROCARRIL - BARRIO DE LA VENTA. 6";50296;"Plasencia de Jalón";"Zaragoza";"España"
70706;"GRISEN";"41.7451803";"-1.1659036";"AVENIDA ESTACION FERROCARRIL. S/N";50297;"Grisén";"Zaragoza";"España"
71103;"FUENTES DE EBRO";"41.5151657";"-0.618599";"AVENIDA LORENZO PARDO. S/N";50740;"Fuentes de Ebro";"Zaragoza";"España"
71105;"QUINTO";"41.4194178";"-0.4907242";"CALLE CAMINO DE LA ESTACION. S/N";50770;"Quinto";"Zaragoza";"España"
71108;"LA ZAIDA-SASTAGO";"41.3204871";"-0.427001";"AVENIDA ZARAGOZA. S/N";50784;"Zaida. La";"Zaragoza";"España"
71200;"LA PUEBLA DE HIJAR";"41.224432";"-0.438385";"PLAZA DEL REINO DE ARAGON. 1";44510;"Puebla de Híjar. La";"Teruel";"España"
71201;"SAMPER";"41.1822141";"-0.3687029";"CARRETERA ESTACION FERROCARRIL. S/N";44520;"Samper de Calanda";"Teruel";"España"
71204;"CASPE";"41.239866";"-0.0427502";"PLAZA OBISPO CUBELES. 15";50700;"Caspe";"Zaragoza";"España"
71205;"VAL DE PILAS";"41.2295857";"0.0732292";"CAMINO DE LA FRESA - ESTACION FERROCARRIL. S/N";50709;"Caspe";"Zaragoza";"España"
71206;"FABARA";"41.234438";"0.143302";"CARRETERA A-144 - ESTACION DE FERROCARRIL. S/N";50793;"Fabara";"Zaragoza";"España"
71207;"NONASPE";"41.213588";"0.2419351";"CARRETERA A-2411 - ESTACION FERROCARRIL. S/N";50794;"Nonaspe";"Zaragoza";"España"
71208;"FAIO-LA POBLA DE MASSALUCA";"41.2250145";"0.3510729";"CARRETERA TV-7231 - ESTACION DE FERROCARRIL. S/N";43783;"Pobla de Massaluca. La";"Tarragona";"España"
71209;"RIBA-ROJA D'EBRE";"41.2485589";"0.4810704";"CARRETERA TV-7411 - ESTACION FERROCARRIL. S/N";43790;"Riba-roja d'Ebre";"Tarragona";"España"
71210;"FLIX";"41.229399";"0.5400743";"PLAÇA SANT JAUME. S/N";43750;"Flix";"Tarragona";"España"
71211;"ASCO";"41.1823587";"0.5690063";"PLAÇA DE L'ESTACIO. S/N";43791;"Ascó";"Tarragona";"España"
71300;"MORA LA NOVA";"41.1065208";"0.653247";"CAMI L'ESTACIO FERROCARRIL. S/N";43770;"Móra la Nova";"Tarragona";"España"
71301;"ELS GUIAMETS";"41.095923";"0.7476965";"CARRETERA TV-3031 - ESTACION FERROCARRIL. S/N";43777;"Guiamets. Els";"Tarragona";"España"
71302;"CAPÇANES";"41.1020781";"0.780339";"CARRETERA TV-3002 - CARRER DE LLABERIA - ESTACION FERROCARRIL. S/N";43776;"Capçanes";"Tarragona";"España"
71303;"MARÇA-FALSET";"41.1308992";"0.8103526";"CARRETERA T-300 - ESTACION FERROCARRIL. S/N";43775;"Marçà";"Tarragona";"España"
71304;"PRADELL";"41.133329";"0.8586158";"CARRETERA TV-3223 - ESTACION FERROCARRIL. S/N";43774;"Pradell de la Teixeta";"Tarragona";"España"
71305;"DUESAIGÜES-L'ARGENTERA";"41.1436386";"0.9208351";"CARRETERA T-343 - ESTACION FERROCARRIL. S/N";43773;"Argentera. L'";"Tarragona";"España"
71306;"RIUDECANYES-BOTARELL";"41.1400222";"0.9756851";"CARRETERA T-3131 - ESTACION FERROCARRIL. S/N";43771;"Riudecanyes";"Tarragona";"España"
71307;"LES BORGES DEL CAMP";"41.1664731";"1.0221315";"CARRER ESTACIO FERROCARRIL. S/N";43350;"Borges del Camp. Les";"Tarragona";"España"
71400;"REUS";"41.1604541";"1.1001041";"PLAÇA DE L'ESTACIO FERROCARRIL. S/N";43203;"Reus";"Tarragona";"España"
71401;"VILA-SECA";"41.1128032";"1.1503332";"CARRER DE GALCERAN DE PINOS. S/N";43480;"Vila-seca";"Tarragona";"España"
71500;"TARRAGONA";"41.1115634";"1.253232";"PASSEIG DE ESPANYA. S/N";43004;"Tarragona";"Tarragona";"España"
71502;"ALTAFULLA-TAMARIT";"41.1367887";"1.3741011";"CARRETERA TV-2023 - CARRER DE LA FASSINA - ESTACION FERROCARRIL. S/N";43008;"Altafulla";"Tarragona";"España"
72100;"RODA DE BARA";"41.1839275";"1.4401676";"CARRETERA TV-2401 - ESTACION DE FERROCARRIL. S/N";43883;"Roda de Berà";"Tarragona";"España"
72101;"RODA DE MAR";"41.1864363";"1.4555183";"CARRER LES FLORES. S/N";43883;"Roda de Berà";"Tarragona";"España"
73001;"PUIGVERD DE LLEIDA-ARTESA DE LLEIDA";"41.5536749";"0.7333933";"CARRETERA LV-7022 - ESTACION FERROCARRIL. 6";25153;"Puigverd de Lleida";"Lleida";"España"
73002;"JUNEDA";"41.5439419";"0.8255156";"CARRER DE PRAT DE LA RIBA. S/N";25430;"Juneda";"Lleida";"España"
73003;"LES BORGES BLANQUES";"41.5217222";"0.8772657";"CAMI DEL CARRO. S/N";25400;"Borges Blanques. Les";"Lleida";"España"
73004;"LA FLORESTA";"41.5041749";"0.9243914";"CARRETERA LV-2012 - ESTACION FERROCARRIL. S/N";25413;"Floresta. La";"Lleida";"España"
73005;"VINAIXA";"41.4251246";"0.9704029";"CARRETERA ALBI. 34";25440;"Vinaixa";"Lleida";"España"
73006;"VIMBODI I POBLET";"41.4026952";"1.0459896";"PASSEIG DEL MESTRE GARCIA. 1";43430;"Vimbodí i Poblet";"Tarragona";"España"
73007;"L'ESPLUGA DE FRANCOLI";"41.400627";"1.1033167";"CAMI L'ESTACIO FERRORARRIL. S/N";43440;"Espluga de Francolí. L'";"Tarragona";"España"
73008;"MONTBLANC";"41.3765805";"1.1655496";"AVINGUDA DE L'ESTACIO. 16";43400;"Montblanc";"Tarragona";"España"
73009;"VILAVERD";"41.3376004";"1.1764993";"CALLE CARRERMAYOR. S/N";43490;"Vilaverd";"Tarragona";"España"
73010;"LA RIBA";"41.3184699";"1.1812863";"CARRETERA TV-7044 - ESTACION FERROCARRIL. S/N";43450;"Riba. La";"Tarragona";"España"
73100;"LA PLANA-PICAMOIXONS";"41.3060974";"1.1949549";"CARRETERA T-743 - KM. 553 - ESTACION FERROCARRIL. S/N";43491;"Valls";"Tarragona";"España"
73101;"ALCOVER";"41.2615791";"1.1741561";"PASSEIG DE L' ESTACIO. S/N";43460;"Alcover";"Tarragona";"España"
73102;"LA SELVA DEL CAMP";"41.2112675";"1.1439237";"PASSEIG L'ESTACIO FERROCARRIL. S/N";43470;"Selva del Camp. La";"Tarragona";"España"
74200;"HUESCA";"42.1333507";"-0.4097769";"CALLE JOSE GIL CAVEZ. 10";22005;"Huesca";"Huesca";"España"
74202;"PLASENCIA DEL MONTE";"42.2051817";"-0.5609244";"CARRETERA A-1207 - ESTACION FERROCARRIL. S/N";22810;"Sotonera. La";"Huesca";"España"
74204;"AYERBE";"42.2755598";"-0.682595";"CARRETERA A-1206 - AVENIDA LAORRE. S/N";22800;"Ayerbe";"Huesca";"España"
74205;"RIGLOS-CONCILIO";"42.3169651";"-0.7274176";"CALLE LACOS. S/N";22808;"Peñas de Riglos. Las";"Huesca";"España"
74206;"RIGLOS";"42.3447386";"-0.7317148";"CALLE ESTACION FERROCARRIL. S/N";22808;"Peñas de Riglos. Las";"Huesca";"España"
74207;"SANTA MARIA Y LA PEÑA";"42.38038";"-0.6958747";"CALLE ESTACION FERROCARRIL. S/N";22820;"Peñas de Riglos. Las";"Huesca";"España"
74208;"ANZANIGO";"42.4033453";"-0.6430434";"CALLE ESTACION FERROCARRIL. S/N";22830;"Caldearenas";"Huesca";"España"
74209;"CALDEARENAS-AQUILUE";"42.3979073";"-0.499468";"CALLE ESTACION FERROCARRIL. S/N";22624;"Caldearenas";"Huesca";"España"
74211;"SABIÑANIGO";"42.5204167";"-0.3733136";"CALLE SERRABLO. 2";22600;"Sabiñánigo";"Huesca";"España"
74213;"JACA";"42.5776167";"-0.5386996";"CALLE ESTACION FERROCARRIL. S/N";22700;"Jaca";"Huesca";"España"
74214;"CASTIELLO-PUEBLO";"42.6273588";"-0.5451882";"AVENIDA FRANCIA. S/N";22710;"Castiello de Jaca";"Huesca";"España"
74216;"VILLANUA-LETRANZ";"42.6890585";"-0.5234695";"CALLE ESTACION FERROCARRIL. S/N";22870;"Villanúa";"Huesca";"España"
74217;"CANFRANC";"42.7513897";"-0.5141525";"AVENIDA DE FERNANDO EL CATOLICO. 2";22880;"Canfranc";"Huesca";"España"
76001;"SALOMO";"41.2234726";"1.3766084";"CARRETERA T-202 - ESTACION FERROCARRIL. S/N";43885;"Salomó";"Tarragona";"España"
76002;"VILABELLA";"41.2395538";"1.3174915";"CARRETERA TV-2032 - ESTACION FERROCARRIL. S/N";43886;"Vilabella";"Tarragona";"España"
76003;"NULLES-BRAFIM";"41.2503055";"1.2975247";"PASSEIG L'ESTACIO FERROCARRIL. 1";43887;"Nulles";"Tarragona";"España"
76004;"VALLS";"41.2895851";"1.2587537";"PLAÇA DE L'ESTACIO. S/N";43800;"Valls";"Tarragona";"España"
77310;"LATOUR DE CAROL";"42.459039";"1.904475";"28 AVENUE DU PUYMORENS";;"LATOUR DE CAROL";;"Francia"
78005;"VILLANUEVA DE GALLEGO";"41.7656646";"-0.822169";"CALLE ESTACION FERROCARRIL. S/N";50830;"Villanueva de Gállego";"Zaragoza";"España"
